"Term","Coefficient","Type","Knots"
"Intercept",-3.69090908141562,"linear","none"
"bun56",0.0320214980331966,"linear","none"
"crp56",0.020311663715557,"linear","none"
"lp34",0.916214880387775,"linear","none"
"ct56",-0.18866699305076,"linear","none"
