"Term","Coefficient","Type","Knots"
"Intercept",-2.15763027389234,"linear","none"
"bun34",0.0513872749960692,"linear","none"
"lp12",0.694306599391055,"linear","none"
"ct34",-0.723829283215916,"linear","none"
