"Term","Coefficient","Type","Knots"
"Intercept",-6.5914222360661,"linear","none"
"bun12",0.0268438075921773,"linear","none"
"alb12",0.779289650089203,"linear","none"
"alt12",0.000864770201327366,"linear","none"
"lp0",0.435204945836407,"linear","none"
